Episode  880 : the agent has obtained an average reward of  0.36  starting from position  [0, 0]
Episode  890 : the agent has obtained an average reward of  0.3  starting from position  [6, 9]
Episode  900 : the agent has obtained an average reward of  -0.04  starting from position  [9, 8]
Episode  910 : the agent has obtained an average reward of  0.0  starting from position  [8, 6]
Episode  920 : the agent has obtained an average reward of  0.22  starting from position  [9, 7]
Episode  930 : the agent has obtained an average reward of  0.06  starting from position  [8, 2]
Episode  940 : the agent has obtained an average reward of  -0.06  starting from position  [1, 5]
Episode  950 : the agent has obtained an average reward of  -0.02  starting from position  [8, 3]
Episode  960 : the agent has obtained an average reward of  0.08  starting from position  [1, 5]
Episode  970 : the agent has obtained an average reward of  0.02  starting from position  [4, 3]
Episode  980 : the agent has obtained an average reward of  0.18  starting from position  [6, 2]
Episode  990 : the agent has obtained an average reward of  0.16  starting from position  [0, 1]
Episode  1000 : the agent has obtained an average reward of  0.1  starting from position  [5, 8]
Episode  1010 : the agent has obtained an average reward of  0.12  starting from position  [8, 5]
Episode  1020 : the agent has obtained an average reward of  0.26  starting from position  [6, 2]
Episode  1030 : the agent has obtained an average reward of  0.26  starting from position  [0, 7]
Episode  1040 : the agent has obtained an average reward of  0.28  starting from position  [0, 4]
Episode  1050 : the agent has obtained an average reward of  0.24  starting from position  [4, 6]
Episode  1060 : the agent has obtained an average reward of  0.2  starting from position  [8, 1]
Episode  1070 : the agent has obtained an average reward of  0.04  starting from position  [7, 7]
Episode  1080 : the agent has obtained an average reward of  0.1  starting from position  [9, 9]
Episode  1090 : the agent has obtained an average reward of  0.2  starting from position  [4, 2]
Episode  1100 : the agent has obtained an average reward of  0.32  starting from position  [3, 2]
Episode  1110 : the agent has obtained an average reward of  0.3  starting from position  [0, 5]
Episode  1120 : the agent has obtained an average reward of  0.28  starting from position  [9, 1]
Episode  1130 : the agent has obtained an average reward of  0.24  starting from position  [4, 8]
Episode  1140 : the agent has obtained an average reward of  0.32  starting from position  [2, 2]
Episode  1150 : the agent has obtained an average reward of  0.36  starting from position  [0, 6]
Episode  1160 : the agent has obtained an average reward of  -0.02  starting from position  [8, 9]
Episode  1170 : the agent has obtained an average reward of  0.38  starting from position  [4, 2]
Episode  1180 : the agent has obtained an average reward of  0.2  starting from position  [3, 2]
Episode  1190 : the agent has obtained an average reward of  0.34  starting from position  [2, 9]
Episode  1200 : the agent has obtained an average reward of  0.34  starting from position  [3, 5]
Episode  1210 : the agent has obtained an average reward of  0.14  starting from position  [4, 3]
Episode  1220 : the agent has obtained an average reward of  0.18  starting from position  [9, 9]
Episode  1230 : the agent has obtained an average reward of  0.34  starting from position  [6, 0]
Episode  1240 : the agent has obtained an average reward of  0.2  starting from position  [9, 4]
Episode  1250 : the agent has obtained an average reward of  0.34  starting from position  [5, 0]
Episode  1260 : the agent has obtained an average reward of  0.36  starting from position  [1, 2]
Episode  1270 : the agent has obtained an average reward of  0.22  starting from position  [7, 1]
Episode  1280 : the agent has obtained an average reward of  0.44  starting from position  [1, 8]
Episode  1290 : the agent has obtained an average reward of  0.54  starting from position  [5, 6]
Episode  1300 : the agent has obtained an average reward of  0.34  starting from position  [2, 8]
Episode  1310 : the agent has obtained an average reward of  0.6  starting from position  [3, 2]
Episode  1320 : the agent has obtained an average reward of  0.46  starting from position  [1, 3]
Episode  1330 : the agent has obtained an average reward of  0.4  starting from position  [2, 2]
Episode  1340 : the agent has obtained an average reward of  0.28  starting from position  [7, 0]
Episode  1350 : the agent has obtained an average reward of  0.2  starting from position  [2, 4]
Episode  1360 : the agent has obtained an average reward of  0.38  starting from position  [9, 4]
Episode  1370 : the agent has obtained an average reward of  0.22  starting from position  [6, 9]
Episode  1380 : the agent has obtained an average reward of  0.56  starting from position  [6, 1]
Episode  1390 : the agent has obtained an average reward of  0.42  starting from position  [8, 3]
Episode  1400 : the agent has obtained an average reward of  0.44  starting from position  [4, 2]
Episode  1410 : the agent has obtained an average reward of  0.52  starting from position  [7, 4]
Episode  1420 : the agent has obtained an average reward of  0.24  starting from position  [5, 6]
